username,password,cargo
opai,12345,gerente
opaizao,123,Gerente
novo_usuario,nova_senha,cliente
joao_silva,p@ssw0rd123,gerente
maria_oliveira,securePass!2021,cliente
pedro_fernandes,qwerty!098,estagiario
ana_souza,1234abcd!,cliente
lucas_lima,Password#321,cliente
carla_santos,myPassw0rd!,gerente
roberto_costa,P@ssword789,cliente
juliana_pereira,SafePass#456,estagiario
felipe_almeida,NewPass2021!,cliente
mariana_rodrigues,StrongPwd@123,gerente
joao123,joaosenha123,caixa
maria456,123maria456,estoquista
pedro246,pedrosenha246,gerente
lucas135,lucas789,acougueiro
rafael852,rafa123,seguranca
patricia369,pati456,rh
isabela741,isabela852,limpeza
fernanda258,fernanda369,caixa
rodrigo963,rodrigo852,estoquista
camila963,camila852,gerente
andre741,andre369,acougueiro
carolina258,carolina963,seguranca
felipe963,felipe741,rh
daniel963,daniel741,caixa
marta741,marta369,estoquista
thulio_nicodemos,123456,gerente
jose_costa,111111,cliente
